Q,A,label
"UNKNOWN MESSAGE Please choose the Technical Support command on the Visual C++ Help menu, or open the Technical Support help file for more information",알 수 없는 메시지. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요.,0
"An internal error has occurred in the compiler.
(compiler file 'file', line number)
To work around this problem, try simplifying or changing the program near the locations listed above. Please choose the Technical Support command on the Visual C++ Help menu, or open the Technical Support help file for more information","컴파일러에서 내부 오류가 발생했습니다.
(컴파일러 파일 'file', 줄 number)
이 문제를 해결하려면 위 목록에 나오는 위치 부근의 프로그램을 단순화하거나 변경하세요. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요.",0
compiler is out of heap space in pass 2,2번 패스에서 컴파일러의 힙 공간이 부족합니다.,0
error count exceeds number; stopping compilation,오류 수가 숫자를 초과합니다. 컴파일 중지,0
unexpected end-of-file found,예기치 않은 파일의 끝이 나타났습니다.,0
string too big for buffer,버퍼에 비해 문자열이 너무 깁니다.,0
unrecognized flag 'string' in 'option',인식할 수 없는 플래그 'string'이 'option'에 있습니다.,0
no input file specified,입력 파일을 지정하지 않았습니다.,0
compiler limit: macros nested too deeply,컴파일러 한계: 매크로가 너무 많이 중첩되었습니다.,0
unexpected end of file while looking for precompiled header. Did you forget to add '#include <file>' to your source?,미리 컴파일된 헤더를 찾는 동안 예기치 않은 파일의 끝이 나타났습니다. 원본에 '#include <파일>'을 추가하는 것을 잊은 경우,0
"unmatched parenthesis: missing 'character""","괄호가 짝이 맞지 않습니다. 'character""가 없습니다.",0
compiler limit: too many open parentheses,컴파일러 한계: 여는 괄호가 너무 많습니다.,0
too many include files: depth = number,포함 파일이 너무 많습니다. 수준 = number,0
#ifdef/#ifndef expected an identifier,#ifdef/#ifndef에 식별자가 필요합니다.,0
invalid integer constant expression,정수 계열 상수 식이 잘못되었습니다.,0
unexpected #elif,예기치 않은 #elif입니다.,0
unexpected #else,예기치 않은 #else입니다.,0
unexpected #endif,예기치 않은 #endif입니다.,0
invalid preprocessor command 'string','string' 전처리기 명령이 잘못되었습니다.,0
expected #endif,#endif가 필요합니다.,0
"'file': unexpected error with pch, try rebuilding the pch",'file': pch에서 예기치 못한 오류가 발생했습니다. pch를 다시 빌드해 보세요.,0
"parser stack overflow, program too complex",파서 스택 오버플로입니다. 프로그램이 너무 복잡합니다.,0
cannot open program database 'file','file' 프로그램 데이터베이스를 열 수 없습니다.,0
file: no include path set,file: 포함 경로를 설정하지 않았습니다.,0
expression too complex; simplify expression,식이 너무 복잡합니다. 간단하게 만드세요.,0
"cannot overwrite earlier program database format, delete 'file' and recompile",이전 프로그램 데이터베이스 형식을 덮어쓸 수 없습니다. 'file'을 삭제하고 다시 컴파일하세요.,0
cannot open object file 'file','file' 개체 파일을 열 수 없습니다.,0
compiler limit: 'function': control flow state too complex; simplify function,컴파일러 한계: 'function': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.,0
"cannot open program database 'file'; if multiple CL.EXE write to the same .PDB file, please use /FS",프로그램 데이터베이스 'file'을 열 수 없습니다. 여러 CL.EXE에서 동일한 .PDB 파일에 쓰는 경우 /FS를 사용하세요.,0
compiler limit: linkage specifications nested too deeply,컴파일러 한계: 링크 사양이 너무 많이 중첩되었습니다.,0
compiler limit: structure nested too deeply,컴파일러 한계: structure 가 너무 많이 중첩되었습니다.,0
