Error,Message
0,'identifier' is a member of 'identifier' and 'identifier'
1,'identifier' is a pure virtual function
2,'identifier' is already defined
3,'identifier' is a virtual base class of 'identifier'
4,'identifier' is far
5,'identifier' is not a class template
6,'identifier' is not a constructor
7,'identifier' is not a correct struct
8,'identifier' is not a member of enum 'identifier'
9,'identifier' is not a member of struct 'identifier'
10,'identifier' is not a member of forward referenced struct 'identifier'
11,'identifier' is not a struct or a class
12,'identifier' is not in function parameter list
13,'identifier' is not a variable
14,'identifier' must be a base class
15,'identifier' must be a class name preceding '::'
16,'identifier' must be a public base class of 'identifier'
17,'identifier' previously declared as something else
18,identifier storage class is illegal in this context
19,number actual arguments expected for identifier
20,number exceeds maximum of number parameters
21,number operands expected for the identifier instruction
22,':' expected
23,'::' or '(' expected after class 'identifier'
24,';' expected
25,'
26,']' expected
27,'(' expected
28,')' expected
29,'{' expected
30,'}' expected
31,'{' or tag identifier expected
32,'='
33,// comments are not ANSI C
34,## cannot appear at beginning or end
35,# must be followed by a parameter
36,'#else' or '#elif' found without '#if'
37,'#endif' found without '#if'
38,#include <typeinfo.h> in order to use RTTI
39,#pragma pack(pop) does not have corresponding push
40,'<' expected following cast
41,'<' expected following 'identifier'
42,'>' expected
43,0 expected
44,0 or 1 expected
45,a '...' handler must be the last one for a try-block
46,a catch must follow a try-block
47,access declaration must be in public or protected section
48,a derived class member has the same name identifier
49,alignment must be a power of 2
50,alloca() cannot be used in Windows functions
51,already seen initializer for 'identifier'
52,ambiguous reference to base class 'identifier'
53,ambiguous reference to function
54,ambiguous type conversion
55,argument of type 'identifier' to copy constructor
56,argument to postfix ++ or --must be int
57,array dimension must be > 0
58,array of functions is illegal
59,array of functions or refs is illegal
60,array or pointer required before '['
61,assembler opcode expected
62,assignment to 'this' is obsolete
63,at least one parameter must be a class or a class&
64,bad -D switch
65,bad file name 'filename'
66,bad member-initializer for 'identifier'
67,base class 'name' has different ambient memory model
68,binary exponent part required for hex floating constants
69,blank arguments are illegal
70,'break' is valid only in a loop or switch
71,can only delete pointers
72,can't assign to const variable
73,can't build filespec 'filename'
74,can't declare member of another class identifier
75,can't handle constructor in this context
76,can't have unnamed bit fields in unions
77,can't open response file
78,can't pass const/volatile object to non-const/volatile member function
79,can't return arrays
80,can't take address of register
81,can't take sizeof bit field
82,cannot convert identifier* to a private base class identifier*
83,cannot create instance of abstract class 'identifier'
84,cannot define parameter as extern
85,cannot delete pointer to const
86,cannot find constructor for class matching
87,cannot generate identifier for class 'identifier'
88,cannot generate template instance from -XI identifier
89,cannot have member initializer for 'identifier'
90,cannot implicitly convert
91,cannot mix C++ EH with NT structured EH
92,cannot raise or lower access to base member 'identifier'
93,cannot throw object of 'identifier' not of ambient memory model
94,case number was already used
95,casts and sizeof are illegal in preprocessor expressions
96,catch type masked by previous catch
97,class name identifier expected after ~
98,code segment too large
99,comma not allowed in constant expression
100,comments do not nest
101,compile all files with -EH to support exception handling
102,compile all files with -ER to support RTTI
103,const or reference 'identifier' needs initializer
104,constant expression does not fit in switch type
105,constant initializer expected
106,'continue' is valid only in a loop
107,conversion of int to far or handle pointer
108,data or code defined in precompiled header
109,declarator for 0 sized bit field
110,'default:' is already used
111,different configuration for precompiled header
112,divide by 0
113,duplicate direct base class 'identifier'
114,DS is not equal to DGROUP
115,duplicate file names 'filename'
116,empty declaration
117,end of file found before '#endif'
118,end of file found before end of comment
119,end of line expected
120,error writing output file
121,exception specifications must match exactly for each declaration of a function
122,expected assembler directive PTR to follow assembler cast
123,expected data def of 'identifier'
124,exponent expected
125,expression expected
126,expression must be a pointer
127,expression must be a pointer or reference to a polymorphic type
128,external with block scope cannot have initializer
129,'_far16' is only valid in -mf memory model
130,'_far16' functions can only be extern
131,field 'identifier' must be of integral type
132,filespec string expected
133,__finally or __except expected
134,forward referenced class 'identifier' cannot be a base class
135,function 'identifier' can't be in an anonymous union
