Q,A
"UNKNOWN MESSAGE Please choose the Technical Support command on the Visual C++ Help menu, or open the Technical Support help file for more information",알 수 없는 메시지. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요.
"UNKNOWN MESSAGE Please choose the Technical Support command on the Multisensory C + + Help entrees, or open the Technical Support help file for more information",알 수 없는 메시지. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요.
"UNKNOWN MESSAGE Please choose the Technical Support command on the Visual Polyzene_® + + Help menu, or open the Technical Support help file for more info",알 수 없는 메시지. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요.
"OF_MINE MESSAGE Please choose the Technical Sponsors_Sunbelt_Software command on the Visual C + + Help menu, or open the Technical Support help file for more information",알 수 없는 메시지. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요.
"GOD_IS MESSAGE Anyone_wishing choose the Technical Support command on the Visual C + + Help menu, or open the Technical Support help file for more information",알 수 없는 메시지. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요.
"An internal error has occurred in the compiler. 
(compiler file 'file', line number)
To work around this problem, try simplifying or changing the program near the locations listed above. Please choose the Technical Support command on the Visual C++ Help menu, or open the Technical Support help file for more information","컴파일러에서 내부 오류가 발생했습니다.
(컴파일러 파일 'file', 줄 number)
이 문제를 해결하려면 위 목록에 나오는 위치 부근의 프로그램을 단순화하거나 변경하세요. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요."
"An internal error has occurred in the compiler. (compiler file ' file ', line number) To work around this problem, try simplifying or changing the program near the locations listed above. Please predefine the Technical Support command on the Visual L + + Help menu, or open the Technical Support help file for more information","컴파일러에서 내부 오류가 발생했습니다.
(컴파일러 파일 'file', 줄 number)
이 문제를 해결하려면 위 목록에 나오는 위치 부근의 프로그램을 단순화하거나 변경하세요. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요."
"An internal error has occurred in the LLVM. (compiler VIDEO_TS_folder ' file ', line number) To work around this problem, try simplifying or changing the program near the locations listed above. Please choose the Technical Support command on the Visual C + + Help menu, or open the Technical Support help file for more information","컴파일러에서 내부 오류가 발생했습니다.
(컴파일러 파일 'file', 줄 number)
이 문제를 해결하려면 위 목록에 나오는 위치 부근의 프로그램을 단순화하거나 변경하세요. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요."
"An internal error has occurred in the compiler. (compiler file ' file ', noseguard_Terrence_Cody number) To work around this problem, try simplifying or changing the program near the locations listed above. Please choose the TECHNICALS_NYMEX_crude_##-day/##-day Support command on the Visual C + + Help menu, or open the Technical Support help file for more information","컴파일러에서 내부 오류가 발생했습니다.
(컴파일러 파일 'file', 줄 number)
이 문제를 해결하려면 위 목록에 나오는 위치 부근의 프로그램을 단순화하거나 변경하세요. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요."
"An internal error has occurred in the compiler. (compiler file ' file ', line number) To work around this problem, try simplifying or changing the peer_mentoring near the locations listed above. Please choose the Technical Support command on ofthe Visual C + + Help menu, or open the Technical Support help file for more information","컴파일러에서 내부 오류가 발생했습니다.
(컴파일러 파일 'file', 줄 number)
이 문제를 해결하려면 위 목록에 나오는 위치 부근의 프로그램을 단순화하거나 변경하세요. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요."
