Q,A
"UNKNOWN MESSAGE Please choose the Technical Support command on the Visual C++ Help menu, or open the Technical Support help file for more information",알 수 없는 메시지. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요.
"An internal error has occurred in the compiler. 
(compiler file 'file', line number)
To work around this problem, try simplifying or changing the program near the locations listed above. Please choose the Technical Support command on the Visual C++ Help menu, or open the Technical Support help file for more information","컴파일러에서 내부 오류가 발생했습니다.
(컴파일러 파일 'file', 줄 number)
이 문제를 해결하려면 위 목록에 나오는 위치 부근의 프로그램을 단순화하거나 변경하세요. 자세한 내용을 보려면 Visual C++ [도움말] 메뉴에서 [기술 지원] 명령을 선택하거나 기술 지원 도움말 파일을 참조하세요."
compiler is out of heap space in pass 2,2번 경로에서 컴파일러의 힙 공간이 부족합니다.
error count exceeds number; stopping compilation,오류 수가 숫자를 초과합니다. 컴파일 중지
unexpected end-of-file found,예기치 않은 파일의 끝이 나타났습니다.
string too big for buffer,버퍼에 비해 문자열이 너무 깁니다.
unrecognized flag 'string' in 'option',인식할 수 없는 플래그 'string'이 'option'에 있습니다.
no input file specified,입력 파일을 지정하지 않았습니다.
compiler limit: macros nested too deeply,컴파일러 한계: 매크로가 너무 많이 중첩되었습니다.
unexpected end of file while looking for precompiled header. Did you forget to add '#include <file>' to your source?,미리 컴파일된 헤더를 찾는 동안 예기치 않은 파일의 끝이 나타났습니다. 당신의 소스코드에 '#include <파일>'을 추가하는 것을 잊으셨습니까?
"unmatched parenthesis: missing 'character""","괄호가 짝이 맞지 않습니다. 'character""가 없습니다."
compiler limit: too many open parentheses,컴파일러 한계: 여는 괄호가 너무 많습니다.
too many include files: depth = number,포함 파일이 너무 많습니다. 수준 = number
#ifdef/#ifndef expected an identifier,#ifdef/#ifndef에 식별자가 필요합니다.
invalid integer constant expression,정수 상수 식이 잘못되었습니다.
unexpected #elif,예기치 않은 #elif입니다.
unexpected #else,예기치 않은 #else입니다.
unexpected #endif,예기치 않은 #endif입니다.
invalid preprocessor command 'string','string' 전처리기 명령이 잘못되었습니다.
expected #endif,#endif가 필요합니다.
"'file': unexpected error with pch, try rebuilding the pch",'file': pch에서 예기치 못한 오류가 발생했습니다. pch를 다시 빌드해 보세요.
"parser stack overflow, program too complex",파서 스택이 오버플로되었습니다. 프로그램이 너무 복잡합니다.
cannot open program database 'file','file' 프로그램 데이터베이스를 열 수 없습니다.
file: no include path set,file: 경로 집합이 포함되지 않았습니다.
expression too complex; simplify expression,식이 너무 복잡합니다. 간단하게 만드세요.
"cannot overwrite earlier program database format, delete 'file' and recompile",이전 프로그램 데이터베이스 형식을 덮어쓸 수 없습니다. 'file'을 삭제하고 다시 컴파일하세요.
cannot open object file 'file',file' 오브젝트 파일을 열 수 없습니다.
compiler limit: 'function': control flow state too complex; simplify function,컴파일러 한계: 'function': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: 'func': control flow state too complex; simplify func,컴파일러 한계: 'func': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: 'fun': control flow state too complex; simplify fun,컴파일러 한계: 'fun': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: 'def': control flow state too complex; simplify def,컴파일러 한계: 'def': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: 'fn': control flow state too complex; simplify fn,컴파일러 한계: 'fn': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
"cannot open program database 'file'; if multiple CL.EXE write to the same .PDB file, please use /FS",프로그램 데이터베이스 'file'을 열 수 없습니다. 여러 CL.EXE에서 동일한 .PDB 파일에 쓰는 경우 /FS를 사용하세요.
compiler limit: linkage specifications nested too deeply,컴파일러 한계: 링크 설명이 너무 많이 중첩되었습니다.
compiler limit: structure nested too deeply,컴파일러 한계: structure 가 너무 많이 중첩되었습니다.
The object or library file 'file' was created with an older compiler than other objects; rebuild old objects and libraries,객체 또는 라이브러리 파일 'file'은 다른 객체에 사용한 컴파일러보다 이전 컴파일러로 만들어졌습니다. 해당 객체 및 라이브러리를 다시 빌드하세요.
unknown option 'string' in 'option',알 수 없는 옵션 'string'이 'option'에 있습니다.
invalid numerical argument 'value','value' 숫자 인수가 잘못되었습니다.
"program database file, 'file', has an obsolete format, delete it and recompile",프로그램 데이터베이스 파일 'file'에 사용되지 않는 형식이 있습니다. 삭제한 후 다시 컴파일하세요.
"program database file, 'filename', was generated by the linker with /DEBUG:fastlink; compiler cannot update such PDB files; please delete it or use /Fd to specify a different PDB filename",프로그램 데이터베이스 파일 'filename'은 /DEBUG:fastlink를 사용하여 링커에 의해 생성되었습니다. 컴파일러는 이러한 PDB 파일을 업데이트할 수 없습니다. 삭제하거나 /Fd를 사용하여 다른 PDB 파일 이름을 지정하세요.
'function': function too large,'function': 함수가 너무 큽니다.
