Q,A
The initialization unit 440 may include a third transistor T3 and a fourth transistor T4.,상기 초기화부(440)는 제 3 트랜지스터(T3) 및 제 4 트랜지스터(T4)를 포함할 수 있다.
It will be possible to transform the startup ecosystem into a private-led initiative.,창업생태계를 민간 주도로 전환할 수 있게 된다.
"1A shows a V2V operation, (b) a V2I operation, and (c) a V2P operation.","도 1의 (a)는 V2V 동작, (b)는 V2I 동작, (c)는 V2P 동작을 나타낸다."
The other person registration database 370 may store registration data for one or a plurality of other people.,타인 등록 데이터베이스(370)는 한 명 또는 복수 명의 타인에 대한 등록 데이터를 저장할 수 있다.
"Meanwhile, when the selection of the target object 510 is released, the control unit 130 may release the copy of the selection attribute.","한편, 제어부(130)는 대상객체(510)의 선택이 해제되면 선택속성의 복사를 해제할 수 있다."
"According to various embodiments, the first power line 461 may be disposed on the second power line 462.","다양한 실시예에 따르면, 제 1 파워라인(461)은 제 2 파워라인(462) 상에 배치될 수 있다."
"In some embodiments, the processor may adjust the variance of the signal to change the level of roughness.","일부 실시예에서, 프로세서는 거칠기의 레벨을 변경하기 위해 신호의 분산을 조정할 수 있다."
This is different from the fact that the probability of a risk group was high even if the usage time once a week was small.,이는 주중 1회 이용시간이 적게 나타나도 위험군 확률이 높게 나타난 것과 차이가 있다.
The second processor may receive BLE from the switching unit or may directly receive the BLE from the first processor.,"제2 프로세서는 스위칭부로부터 BLE를 수신하거나, 제1 프로세서로부터 직접 수신할 수 있다."
"As regional-related channels can be added, sales effects for related operators are expected.","지역 관련 채널이 추가될 수 있게 되면서, 관련 사업자에 대한 매출 효과가 기대된다."
4 is a view for explaining the configuration and operation of the control unit 10 and the input circuit 20 according to an embodiment of the present invention.,도 4는 본 발명의 일 실시예에 따른 제어부(10)와 입력 회로(20)의 구성 및 동작을 설명하기 위한 도면이다.
"A combination of a plurality of hand gestures may be stored as a password, but is not limited thereto.","복수의 손 제스쳐 조합이 패스워드로 저장될 수 있으며, 이에 제한되지 않는다."
This should take into account changes in weather conditions due to the existing abnormal climate.,이는 기존에 이상 기후로 인한 기상 여건의 변화를 고려해야 한다.
